1,United States of America,50762671,,817789,,39986483,,9958399,14935,152074,2450,773300851,2316642,333802450,NorthAmerica,7,408,0,,,29833
2,India,34690510,,475434,,34122795,8464,92281,8944,24787,340,654627300,467735,1399568826,Asia,40,2944,2,,,66
3,Brazil,22188179,,616859,,21414318,,157002,8318,103326,2873,63776166,296994,214738715,SouthAmerica,10,348,3,,,731
4,United Kingdom,10771444,,146387,,9453429,,1171628,900,157476,2140,374468898,5474658,68400424,Europe,6,467,0,,,17129
5,Russia,9986967,,288351,,8709964,,988652,2300,68392,1975,231000000,1581924,146024756,Europe,15,506,1,,,6770
6,Turkey,9022223,,78969,,8592094,,351160,1128,105341,922,111562570,1302577,85647607,Asia,9,1085,1,,,4100
7,France,8214844,,120383,,7294588,,799873,2461,125452,1838,172371975,2632360,65481904,Europe,8,544,0,,,12215
8,Germany,6501279,,106208,,5368300,,1026771,4636,77239,1262,87852398,1043744,84170450,Europe,13,793,1,,,12199
9,Iran,6152524,,130661,,5963373,,58490,3126,71923,1527,39951481,467035,85542756,Asia,14,655,2,,,684
10,Argentina,5356885,,116760,,5213678,,26447,681,116978,2550,26663231,582245,45793842,SouthAmerica,9,392,2,,,578
11,Spain,5290190,,88381,,4943735,,258074,1056,113084,1889,66213858,1415403,46780909,Europe,9,529,1,,,5517
12,Italy,5206305,,134765,,4797658,,273882,818,86292,2234,125490703,2079950,60333526,Europe,12,448,0,,,4539
13,Colombia,5091508,,129056,,4932304,,30148,342,98549,2498,28587711,553330,51664885,SouthAmerica,10,400,2,,,584
14,Indonesia,4258980,,143929,,4109865,,5186,,15337,518,57921612,208581,277694062,Asia,65,1929,5,,,19
15,Mexico,3917361,2655,296620,235,3271058,2022,349683,4798,29930,2266,12065033,92180,130885987,NorthAmerica,33,441,11,20,2,2672
16,Poland,3808798,,88414,,3263563,,456821,2104,100797,2340,25430252,672993,37786794,Europe,10,427,1,,,12089
17,Ukraine,3553817,,90789,,3184287,,278741,177,81971,2094,16274905,375391,43354523,Europe,12,478,3,,,6429
18,South Africa,3129622,,90116,,2880472,,159034,546,51826,1492,20176391,334120,60386682,Africa,19,670,3,,,2634
19,Netherlands,2863838,,20074,,2232957,,610807,642,166603,1168,19205114,1117254,17189574,Europe,6,856,1,,,35534
20,Philippines,2836360,,50096,,2774891,,11373,899,25396,449,24522686,219573,111683522,Asia,39,2229,5,,,102
21,Malaysia,2688149,,30862,,2596509,,60778,396,81549,936,39173380,1188376,32963803,Asia,12,1068,1,,,1844
22,Czech Republic,2325181,,34377,,2008647,,282157,1067,216545,3202,45400146,4228128,10737646,Europe,5,312,0,,,26277
23,Peru,2251027,,201650,,,,,993,66927,5995,20753581,617044,33633902,SouthAmerica,15,167,2,,,9773
24,Thailand,2168646,3787,21169,20,2095859,5606,51618,1369,30957,302,14913135,212885,70052677,Asia,32,3309,5,54,0.3,737
25,Iraq,2087497,,23965,,2054696,,8836,86,50274,577,16539839,398336,41522281,Asia,20,1733,3,,,213
26,Belgium,1929772,,27504,,1421499,,480769,827,165470,2358,25785017,2210955,11662387,Europe,6,424,0,,,41224
27,Canada,1831733,,29910,,1765882,,35941,469,47927,783,49829014,1303763,38219377,NorthAmerica,21,1278,1,,,940
28,Romania,1792433,,57636,,1714239,,20558,712,94079,3025,16396701,860608,19052454,Europe,11,331,1,,,1079
29,Chile,1781227,,38646,,1679439,,63142,687,92040,1997,26276042,1357735,19352846,SouthAmerica,11,501,1,,,3263
30,Japan,1728548,,18372,,1709270,,906,25,13728,146,28431738,225796,125917681,Asia,73,6854,4,,,7
31,Bangladesh,1578996,,28022,,1543862,,7112,1369,9452,168,11098586,66437,167055318,Asia,106,5962,15,,,43
32,Vietnam,1398413,,27611,,1053425,,317377,7558,14182,280,71152452,721616,98601587,Asia,71,3571,1,,,3219
33,Israel,1349741,,8210,,1335728,,5803,102,144729,880,35924740,3852106,9326000,Asia,7,1136,0,,,622
34,Pakistan,1289049,288,28830,7,1251101,674,9118,740,5677,127,22525190,99199,227071093,Asia,176,7876,10,1,0.03,40
35,Serbia,1273103,,12148,,1226748,,34207,179,146560,1398,6968519,802217,8686577,Europe,7,715,1,,,3938
36,Sweden,1229217,,15158,,1167277,925,46782,48,120629,1488,13934770,1367481,10190099,Europe,8,672,1,,,4591
37,Austria,1225555,,13143,,1138722,,73690,573,134965,1447,114668040,12627909,9080525,Europe,7,691,0,,,8115
38,Portugal,1190409,,18645,,1106116,,65648,142,117238,1836,22443244,2210329,10153801,Europe,9,545,0,,,6465
39,Hungary,1182922,,36429,,968897,,177596,573,122902,3785,8768881,911057,9624951,Europe,8,264,1,,,18452
40,Switzerland,1106573,,11785,,891505,,203283,273,126525,1347,13030943,1489947,8745908,Europe,8,742,1,,,23243
41,Jordan,1006136,,11941,,927352,,66843,1256,97219,1154,12696572,1226818,10349193,Asia,10,867,1,,,6459
42,Greece,999652,,19157,,912332,,68163,705,96589,1851,40397061,3903259,10349571,Europe,10,540,0,,,6586
43,Kazakhstan,979484,554,12837,,948214,631,18433,528,51281,672,11575012,606005,19100508,Asia,20,1488,2,29,,965
44,Cuba,963566,,8313,,954862,,391,14,85146,735,11309677,999385,11316640,NorthAmerica,12,1361,1,,,35
45,Morocco,951380,,14796,,934739,,1845,347,25342,394,10559593,281279,37541305,Africa,39,2537,4,,,49
46,Georgia,886364,,12695,,827676,,45993,,222810,3191,12098005,3041139,3978117,Asia,4,313,0,,,11562
47,Nepal,823980,,11553,,806544,,5883,114,27565,386,4708510,157518,29891861,Asia,36,2587,6,,,197
48,Slovakia,769944,,15304,,645082,,109558,580,140926,2801,4843521,886530,5463458,Europe,7,357,1,,,20053
49,United Arab Emirates,742719,,2151,,737821,,2747,,73809,214,104416564,10376615,10062681,Asia,14,4678,0,,,273
50,Tunisia,719434,,25427,,692617,,1390,50,59968,2119,3225124,268829,11996935,Africa,17,472,4,,,116
51,Bulgaria,714156,,29486,,587126,,97544,627,103908,4290,6893275,1002958,6872943,Europe,10,233,1,,,14192
52,Lebanon,688515,,8836,,640860,,38819,186,101531,1303,4795578,707174,6781330,Asia,10,767,1,,,5724
53,Belarus,673269,,5261,,663455,,4553,,71284,557,10648839,1127477,9444838,Europe,14,1795,1,,,482
54,Croatia,651863,,11574,,613806,,26483,326,160213,2845,3559322,874800,4068726,Europe,6,352,1,,,6509
55,Guatemala,621844,,16029,,604817,,998,5,33809,871,3180830,172937,18393028,NorthAmerica,30,1147,6,,,54
56,Ireland,618956,,5788,,478735,,134433,111,123364,1154,9313992,1856371,5017312,Europe,8,867,1,,,26794
57,Azerbaijan,603254,,8070,,574615,,20569,,58734,786,5666466,551697,10270969,Asia,17,1273,2,,,2003
58,Sri Lanka,572188,,14595,,544626,,12967,,26561,677,5726599,265825,21542773,Asia,38,1476,4,,,602
59,Costa Rica,567995,,7332,,558639,,2024,64,110051,1421,2839020,550070,5161199,NorthAmerica,9,704,2,,,392
60,Bolivia,551516,,19305,,502902,,29309,220,46336,1622,2602670,218665,11902544,SouthAmerica,22,617,5,,,2462
61,Saudi Arabia,550189,,8852,,539409,,1928,27,15457,249,31908463,896425,35595239,Asia,65,4021,1,,,54
62,Denmark,548400,,3005,,471632,,73763,60,94200,516,98346089,16893225,5821629,Europe,11,1937,0,,,12671
63,Ecuador,530865,,33498,,443880,,53487,759,29445,1858,2053558,113902,18029171,SouthAmerica,34,538,9,,,2967
64,Myanmar,526381,,19177,,502666,,4538,,9582,349,5782489,105259,54935909,Asia,104,2865,10,,,83
65,South Korea,517271,6688,4253,43,431606,2350,81412,856,10077,83,15804065,307874,51332851,Asia,99,12070,3,130,0.8,1586
66,Lithuania,489673,,6956,,456062,,26655,122,183574,2608,6341339,2377305,2667449,Europe,5,383,0,,,9993
67,Panama,480573,,7386,,470109,,3078,14,108908,1674,4304404,975468,4412653,NorthAmerica,9,597,1,,,698
68,Paraguay,463707,,16502,,446545,,660,55,63882,2273,1978333,272541,7258846,SouthAmerica,16,440,4,,,91
69,Slovenia,439165,,5394,,410556,,23215,246,211203,2594,1993607,958765,2079350,Europe,5,385,1,,,11165
70,Venezuela,437887,,5234,,425573,,7080,681,15462,185,3359014,118611,28319663,SouthAmerica,65,5411,8,,,250
71,Palestine,433680,,4569,,425507,,3604,58,82258,867,2776809,526692,5272173,Asia,12,1154,2,,,684
72,Kuwait,413672,,2466,,410864,,342,3,94844,565,5549441,1272341,4361599,Asia,11,1769,1,,,78
73,Dominican Republic,410087,,4218,,404173,,1696,108,37264,383,2499867,227162,11004772,NorthAmerica,27,2609,4,,,154
74,Uruguay,402383,,6142,,393909,,2332,14,115260,1759,4202320,1203724,3491098,SouthAmerica,9,568,1,,,668
75,Mongolia,385353,157,2033,2,313256,,70064,192,114881,606,4030048,1201433,3354369,Asia,9,1650,1,47,0.6,20887
76,Honduras,378561,,10421,,122591,,245549,51,37364,1029,1126954,111231,10131626,NorthAmerica,27,972,9,,,24236
77,Libya,377450,,5540,,362177,,9733,,53875,791,1946252,277799,7005979,Africa,19,1265,4,,,1389
78,Ethiopia,373000,,6829,,350292,,15879,168,3133,57,3929335,33002,119063297,Africa,319,17435,30,,,133
79,Moldova,369402,,9354,,353965,,6083,132,91881,2327,2273501,565487,4020433,Europe,11,430,2,,,1513
80,Egypt,368335,,21015,,306106,,41214,90,3504,200,3693367,35136,105115032,Africa,285,5002,28,,,392
81,Armenia,342405,,7788,,324834,,9783,,115240,2621,2440627,821419,2971234,Asia,9,382,1,,,3293
82,Norway,314258,,1136,,88952,,224170,108,57321,207,8837513,1611985,5482379,Europe,17,4826,1,,,40889
83,Oman,304679,,4113,,300066,,500,1,57556,777,25000000,4722694,5293589,Asia,17,1287,0,,,94
84,Bosnia and Herzegovina,280980,,12918,,192218,,75844,,86419,3973,1426356,438695,3251364,Europe,12,252,2,,,23327
85,Bahrain,278037,,1394,,276321,,322,1,155621,780,7607537,4258037,1786630,Asia,6,1282,0,,,180
86,Singapore,272992,,789,,266198,,6005,32,46139,133,21098774,3565970,5916700,Asia,22,7499,0,,,1015
87,Latvia,261463,,4366,,246893,,10204,97,140867,2352,5444570,2933350,1856093,Europe,7,425,0,,,5498
88,Kenya,256134,,5346,,248511,,2277,1,4617,96,2885602,52014,55477032,Africa,217,10377,19,,,41
89,Qatar,245188,,612,,242215,,2361,9,87324,218,3056051,1088413,2807805,Asia,11,4588,1,,,841
90,Australia,228936,1548,2104,4,209564,,17268,99,8830,81,50006586,1928786,25926451,Australia/Oceania,113,12322,1,60,0.2,666
91,Estonia,227902,,1848,,212969,,13085,25,171636,1392,2397087,1805277,1327822,Europe,6,719,1,,,9854
92,Republic of Macedonia,219100,,7723,,205700,,5677,,105172,3707,1500087,720070,2083251,Europe,10,270,1,,,2725
93,Nigeria,217063,,2981,,207703,,6379,11,1017,14,3629527,17001,213495156,Africa,984,71619,59,,,30
94,Algeria,212652,,6137,,146172,,60343,24,4726,136,230861,5131,44991905,Africa,212,7331,195,,,1341
95,Zambia,210959,,3669,,206606,,684,21,11031,192,2775100,145104,19124909,Africa,91,5213,7,,,36
96,Albania,203524,,3132,,194838,,5554,23,70834,1090,1419120,493906,2873262,Europe,14,917,2,,,1933
97,Finland,201051,,1421,,46000,,153630,54,36205,256,8150123,1467661,5553139,Europe,28,3908,1,,,27665
98,Botswana,196090,,2421,,192452,,1217,1,81028,1000,1929047,797120,2420021,Africa,12,1000,1,,,503
99,Uzbekistan,195524,,1434,,192260,,1830,23,5722,42,1377915,40327,34168337,Asia,175,23827,25,,,54
100,Kyrgyzstan,183931,,2768,,178962,,2201,131,27537,414,1864308,279117,6679306,Asia,36,2413,4,,,330
101,Zimbabwe,165002,,4735,,129562,,30705,12,10873,312,1693897,111626,15174773,Africa,92,3205,9,,,2023
102,Montenegro,159635,,2349,,155088,,2198,60,254123,3739,925755,1473707,628181,Europe,4,267,1,,,3499
103,Afghanistan,157611,,7325,,141573,,8713,1124,3922,182,802575,19969,40190848,Asia,255,5487,50,,,217
104,Mozambique,153408,,1942,,149955,,1511,13,4718,60,997829,30688,32515649,Africa,212,16743,33,,,46
105,Cyprus,140458,,608,,124370,,15480,42,115126,498,9477138,7767917,1220036,Asia,9,2007,0,,,12688
106,Namibia,132271,,3577,,125889,,2805,3,50733,1372,814176,312279,2607203,Africa,20,729,3,,,1076
107,Ghana,131412,,1239,,129495,,678,5,4106,39,2018574,63066,32007152,Africa,244,25833,16,,,21
108,Uganda,127913,,3267,,97759,,26887,100,2675,68,2013674,42110,47819074,Africa,374,14637,24,,,562
109,Cambodia,120343,,2982,,116695,,666,,7057,175,2736887,160498,17052487,Asia,142,5718,6,,,39
110,El Salvador,119803,,3793,,102982,,13028,246,18337,581,1440742,220519,6533416,NorthAmerica,55,1722,5,,,1994
111,Cameroon,107549,,1823,,102716,,3010,152,3911,66,1751774,63707,27497169,Africa,256,15083,16,,,109
112,Rwanda,100584,,1344,,45522,,53718,1,7498,100,3639505,271312,13414453,Africa,133,9981,4,,,4004
113,Luxembourg,93429,,890,,86920,,5619,23,145834,1389,3735071,5830091,640654,Europe,7,720,0,,,8771
114,Maldives,93064,,257,,90861,,1946,23,167906,464,1795019,3238581,554261,Asia,6,2157,0,,,3511
115,Jamaica,91725,,2424,,63402,,25899,6,30782,813,681866,228829,2979812,NorthAmerica,32,1229,4,,,8691
116,Laos,88046,,236,,7339,,80471,,11854,32,856830,115356,7427729,Asia,84,31473,9,,,10834
117,Trinidad and Tobago,80049,,2383,,63482,,14184,22,56933,1695,471520,335357,1406026,NorthAmerica,18,590,3,,,10088
118,Senegal,74076,,1886,,72145,,45,2,4262,109,888714,51137,17379053,Africa,235,9215,20,,,3
119,Angola,65397,,1737,,63417,,243,3,1905,51,1192540,34730,34337081,Africa,525,19768,29,,,7
120,Réunion,63863,,391,,59685,,3787,34,70604,432,1347378,1489592,904528,Africa,14,2313,1,,,4187
121,Malawi,62230,,2307,,58852,,1071,67,3136,116,450666,22713,19841531,Africa,319,8601,44,,,54
122,Ivory Coast,61896,,706,,60964,,226,,2266,26,1174585,42996,27318673,Africa,441,38695,23,,,8
123,Democratic Republic of the Congo,59851,,1118,,50930,,7803,,640,12,306299,3277,93478896,Africa,1562,83613,305,,,83
124,Guadeloupe,55284,,748,,2250,,52286,23,138133,1869,551264,1377392,400223,NorthAmerica,7,535,1,,,130642
125,Fiji,52577,,697,,51157,,723,,58044,769,465125,513488,905814,Australia/Oceania,17,1300,2,,,798
126,Eswatini,52174,,1248,,45503,,5423,11,44310,1060,402213,341587,1177485,Africa,23,943,3,,,4606
127,Suriname,51167,,1176,,29584,,20407,11,86109,1979,163252,274737,594212,SouthAmerica,12,505,4,,,34343
128,Syria,49189,,2809,,30376,,16004,,2716,155,113162,6248,18112744,Asia,368,6448,160,,,884
129,French Guiana,46421,,332,,11254,,34835,5,149829,1072,462858,1493929,309826,SouthAmerica,7,933,1,,,112434
130,French Polynesia,46334,,636,,,,,7,163580,2245,,,283250,Australia/Oceania,6,445,,,,43064
131,Madagascar,45794,,980,,43393,,1421,22,1595,34,290447,10115,28715781,Africa,627,29302,99,,,49
132,Martinique,45501,,718,,104,,44679,1,121386,1915,416247,1110451,374845,NorthAmerica,8,522,1,,,119193
133,Sudan,44529,,3208,,36009,,5312,,982,71,238579,5264,45323453,Africa,1018,14128,190,,,117
134,Malta,40468,,470,,38178,,1820,3,91300,1060,1211456,2733183,443240,Europe,11,943,0,,,4106
135,Mauritania,39778,,849,,38347,,582,13,8243,176,525532,108905,4825580,Africa,121,5684,9,,,121
136,Cabo Verde,38496,,351,,38019,,126,23,68171,622,211692,374879,564694,Africa,15,1609,3,,,223
137,Guyana,38453,,1016,,36634,,803,14,48550,1283,402981,508797,792027,SouthAmerica,21,780,2,,,1014
138,Gabon,37591,,282,,34131,,3178,6,16334,123,1425314,619337,2301353,Africa,61,8161,2,,,1381
139,Papua New Guinea,35835,,573,,34917,,345,7,3899,62,249149,27107,9191184,Australia/Oceania,256,16040,37,,,38
140,Belize,31033,,586,,29609,,838,10,76056,1436,361427,885790,408028,NorthAmerica,13,696,1,,,2054
141,Guinea,30798,,388,,29753,,657,49,2257,28,569940,41768,13645501,Africa,443,35169,24,,,48
142,Barbados,26740,,251,,24372,,2117,,92885,872,450060,1563343,287883,NorthAmerica,11,1147,1,,,7354
143,Togo,26372,,243,,25937,,192,,3082,28,589871,68925,8558107,Africa,325,35219,15,,,22
144,Tanzania,26309,,734,,,,,7,423,12,,,62182693,Africa,2364,84718,,,,408
145,Haiti,25744,,758,,22028,,2958,,2219,65,132422,11413,11602925,NorthAmerica,451,15307,88,,,255
146,Benin,24897,,161,,24546,,190,5,1979,13,604310,48036,12580279,Africa,505,78138,21,,,15
